M4A1-S | Cyrex (Battle-Scarred)
M4A1-S | Cyrex (Factory New)
M4A1-S | Cyrex (Field-Tested)
M4A1-S | Cyrex (Minimal Wear)
M4A1-S | Cyrex (Well-Worn)
AK-47 | The Empress (Battle-Scarred)
AK-47 | The Empress (Factory New)
AK-47 | The Empress (Field-Tested)
AK-47 | The Empress (Minimal Wear)
AK-47 | The Empress (Well-Worn)
Operation Breakout Weapon Case
Desert Eagle | Printstream (Battle-Scarred)
Desert Eagle | Printstream (Factory New)
Desert Eagle | Printstream (Field-Tested)
Desert Eagle | Printstream (Minimal Wear)
Desert Eagle | Printstream (Well-Worn)
